0,0,577.0
0,1,323.0
0,2,445.0
1,0,64.0
1,1,97.0
2,0,92.0
2,1,114.0
3,0,31.0
3,1,108.0
4,0,37.0
4,1,128.0
4,2,110.0
5,0,87.0
5,1,97.0
6,0,68.0
6,1,97.0
7,0,40.0
8,0,17.0
8,1,72.0
9,0,34.0
9,1,96.0
10,0,76.0
10,1,96.0
11,0,39.0
11,1,94.0
12,0,34.0
12,1,68.0
14,0,31.0
14,1,122.0
14,2,158.0
15,0,34.0
15,1,51.0
16,0,131.0
16,1,39.0
17,0,17.0
17,1,51.0
18,0,9.0
18,1,1703.0
19,0,8.0
19,1,16.0
0,0,838.0
0,1,624.0
0,2,345.0
0,3,610.0
0,4,783.0
0,5,1043.0
0,6,1285.0
0,7,1308.0
0,8,967.0
1,0,13.0
1,1,27.0
1,2,42.0
1,3,86.0
1,4,227.0
1,5,669.0
1,6,1045.0
1,7,1006.0
1,8,1228.0
0,0,22.0
0,1,57.0
0,2,120.0
0,3,219.0
0,4,593.0
0,5,1496.0
0,6,2160.0
0,7,1518.0
0,8,1423.0
0,9,2105.0
1,0,263.0
1,1,114.0
1,2,385.0
1,3,909.0
1,4,3197.0
1,5,5570.0
1,6,5934.0
1,7,3952.0
1,8,4470.0
0,0,564.0
0,1,478.0
0,2,244.0
0,3,456.0
0,4,925.0
0,5,989.0
0,6,1871.0
0,7,1202.0
0,8,572.0
0,9,1394.0
0,10,6904.0
1,0,26.0
1,1,60.0
1,2,297.0
1,3,928.0
2,0,40.0
2,1,90.0
2,2,117.0
2,3,131.0
2,4,330.0
3,0,200.0
3,1,93.0
3,2,260.0
3,3,164.0
3,4,1826.0
3,5,766.0
4,0,78.0
4,1,64.0
4,2,155.0
4,3,263.0
4,4,502.0
4,5,6885.0
4,6,243.0
