@relation realdata3

@attribute Id numeric
@attribute U numeric
@attribute X numeric
@attribute Y numeric

@data
0,90.972474,0,0
1,90.972474,0,50
2,83.854514,0,100
3,83.854514,0,150
4,80.700734,0,200
5,80.700734,0,250
6,73.317574,0,300
7,73.317574,0,350
8,18.51947,0,400
9,18.51947,0,450
10,90.972474,50,0
11,90.972474,50,50
12,83.854514,50,100
13,83.854514,50,150
14,80.700734,50,200
15,80.700734,50,250
16,73.317574,50,300
17,73.317574,50,350
18,18.51947,50,400
19,18.51947,50,450
20,72.616894,100,0
21,72.616894,100,50
22,78.713114,100,100
23,78.713114,100,150
24,75.357084,100,200
25,75.357084,100,250
26,72.426424,100,300
27,72.426424,100,350
28,10.27215,100,400
29,10.27215,100,450
30,72.616894,150,0
31,72.616894,150,50
32,78.713114,150,100
33,78.713114,150,150
34,75.357084,150,200
35,75.357084,150,250
36,72.426424,150,300
37,72.426424,150,350
38,10.27215,150,400
39,10.27215,150,450
40,53.650794,200,0
41,53.650794,200,50
42,66.846464,200,100
43,66.846464,200,150
44,80.388894,200,200
45,80.388894,200,250
46,71.556894,200,300
47,71.556894,200,350
48,0,200,400
49,0,200,450
50,53.650794,250,0
51,53.650794,250,50
52,66.846464,250,100
53,66.846464,250,150
54,80.388894,250,200
55,80.388894,250,250
56,71.556894,250,300
57,71.556894,250,350
58,0,250,400
59,0,250,450
60,53.650794,300,0
61,53.650794,300,50
62,67.035089,300,100
63,67.035089,300,150
64,72.260084,300,200
65,72.260084,300,250
66,53.650794,300,300
67,53.650794,300,350
68,0,300,400
69,0,300,450
70,53.650794,350,0
71,53.650794,350,50
72,67.035089,350,100
73,67.035089,350,150
74,72.260084,350,200
75,72.260084,350,250
76,53.650794,350,300
77,53.650794,350,350
78,0,350,400
79,0,350,450
80,53.650794,400,0
81,53.650794,400,50
82,53.650794,400,100
83,53.650794,400,150
84,73.815734,400,200
85,73.815734,400,250
86,53.650794,400,300
87,53.650794,400,350
88,0,400,400
89,0,400,450
90,49.047619,450,0
91,49.047619,450,50
92,49.047619,450,100
93,49.047619,450,150
94,69.212559,450,200
95,69.212559,450,250
96,49.047619,450,300
97,49.047619,450,350
98,0,450,400
99,0,450,450
