Id,U,X,Y
0,90.972474,0,0
1,90.972474,0,50
2,83.854514,0,100
3,83.854514,0,150
4,80.700734,0,200
5,80.700734,0,250
6,73.317574,0,300
7,73.317574,0,350
8,18.51947,0,400
9,18.51947,0,450
10,0,0,500
11,0,0,550
12,0,0,600
13,0,0,650
14,0,0,700
15,0,0,750
16,3.01185,0,800
17,3.01185,0,850
18,3.064313,0,900
19,3.064313,0,950
20,54.004425,0,1000
21,54.004425,0,1050
22,60.051654,0,1100
23,60.051654,0,1150
24,76.756529,0,1200
25,76.756529,0,1250
26,82.558334,0,1300
27,82.558334,0,1350
28,81.418568,0,1400
29,81.418568,0,1450
30,62.620067,0,1500
31,62.620067,0,1550
32,6.097312,0,1600
33,6.097312,0,1650
34,2.098096,0,1700
35,2.098096,0,1750
36,1.860904,0,1800
37,1.860904,0,1850
38,0,0,1900
39,0,0,1950
40,0,0,2000
41,0,0,2050
42,0,0,2100
43,0,0,2150
44,42.063492,0,2200
45,42.063492,0,2250
46,42.063492,0,2300
47,42.063492,0,2350
48,42.063492,0,2400
49,42.063492,0,2450
50,90.972474,50,0
51,90.972474,50,50
52,83.854514,50,100
53,83.854514,50,150
54,80.700734,50,200
55,80.700734,50,250
56,73.317574,50,300
57,73.317574,50,350
58,18.51947,50,400
59,18.51947,50,450
60,0,50,500
61,0,50,550
62,0,50,600
63,0,50,650
64,0,50,700
65,0,50,750
66,3.01185,50,800
67,3.01185,50,850
68,3.064313,50,900
69,3.064313,50,950
70,54.004425,50,1000
71,54.004425,50,1050
72,60.051654,50,1100
73,60.051654,50,1150
74,76.756529,50,1200
75,76.756529,50,1250
76,82.558334,50,1300
77,82.558334,50,1350
78,81.418568,50,1400
79,81.418568,50,1450
80,62.620067,50,1500
81,62.620067,50,1550
82,6.097312,50,1600
83,6.097312,50,1650
84,2.098096,50,1700
85,2.098096,50,1750
86,1.860904,50,1800
87,1.860904,50,1850
88,0,50,1900
89,0,50,1950
90,0,50,2000
91,0,50,2050
92,0,50,2100
93,0,50,2150
94,42.063492,50,2200
95,42.063492,50,2250
96,42.063492,50,2300
97,42.063492,50,2350
98,42.063492,50,2400
99,42.063492,50,2450
100,72.616894,100,0
101,72.616894,100,50
102,78.713114,100,100
103,78.713114,100,150
104,75.357084,100,200
105,75.357084,100,250
106,72.426424,100,300
107,72.426424,100,350
108,10.27215,100,400
109,10.27215,100,450
110,9.2105,100,500
111,9.2105,100,550
112,0,100,600
113,0,100,650
114,0,100,700
115,0,100,750
116,3.547812,100,800
117,3.547812,100,850
118,4.341405,100,900
119,4.341405,100,950
120,54.970012,100,1000
121,54.970012,100,1050
122,57.982227,100,1100
123,57.982227,100,1150
124,74.589963,100,1200
125,74.589963,100,1250
126,81.046783,100,1300
127,81.046783,100,1350
128,77.189078,100,1400
129,77.189078,100,1450
130,59.677138,100,1500
131,59.677138,100,1550
132,5.495538,100,1600
133,5.495538,100,1650
134,2.457492,100,1700
135,2.457492,100,1750
136,0,100,1800
137,0,100,1850
138,0,100,1900
139,0,100,1950
140,0,100,2000
141,0,100,2050
142,0,100,2100
143,0,100,2150
144,42.063492,100,2200
145,42.063492,100,2250
146,42.063492,100,2300
147,42.063492,100,2350
148,42.063492,100,2400
149,42.063492,100,2450
150,72.616894,150,0
151,72.616894,150,50
152,78.713114,150,100
153,78.713114,150,150
154,75.357084,150,200
155,75.357084,150,250
156,72.426424,150,300
157,72.426424,150,350
158,10.27215,150,400
159,10.27215,150,450
160,9.2105,150,500
161,9.2105,150,550
162,0,150,600
163,0,150,650
164,0,150,700
165,0,150,750
166,3.547812,150,800
167,3.547812,150,850
168,4.341405,150,900
169,4.341405,150,950
170,54.970012,150,1000
171,54.970012,150,1050
172,57.982227,150,1100
173,57.982227,150,1150
174,74.589963,150,1200
175,74.589963,150,1250
176,81.046783,150,1300
177,81.046783,150,1350
178,77.189078,150,1400
179,77.189078,150,1450
180,59.677138,150,1500
181,59.677138,150,1550
182,5.495538,150,1600
183,5.495538,150,1650
184,2.457492,150,1700
185,2.457492,150,1750
186,0,150,1800
187,0,150,1850
188,0,150,1900
189,0,150,1950
190,0,150,2000
191,0,150,2050
192,0,150,2100
193,0,150,2150
194,42.063492,150,2200
195,42.063492,150,2250
196,42.063492,150,2300
197,42.063492,150,2350
198,42.063492,150,2400
199,42.063492,150,2450
200,53.650794,200,0
201,53.650794,200,50
202,66.846464,200,100
203,66.846464,200,150
204,80.388894,200,200
205,80.388894,200,250
206,71.556894,200,300
207,71.556894,200,350
208,0,200,400
209,0,200,450
210,0,200,500
211,0,200,550
212,0,200,600
213,0,200,650
214,0,200,700
215,0,200,750
216,6.010735,200,800
217,6.010735,200,850
218,6.225315,200,900
219,6.225315,200,950
220,64.232258,200,1000
221,64.232258,200,1050
222,65.675334,200,1100
223,65.675334,200,1150
224,72.326614,200,1200
225,72.326614,200,1250
226,75.069003,200,1300
227,75.069003,200,1350
228,73.338755,200,1400
229,73.338755,200,1450
230,70.475388,200,1500
231,70.475388,200,1550
232,10.20902,200,1600
233,10.20902,200,1650
234,0,200,1700
235,0,200,1750
236,0,200,1800
237,0,200,1850
238,0,200,1900
239,0,200,1950
240,0,200,2000
241,0,200,2050
242,0,200,2100
243,0,200,2150
244,42.063492,200,2200
245,42.063492,200,2250
246,42.063492,200,2300
247,42.063492,200,2350
248,42.063492,200,2400
249,42.063492,200,2450
250,53.650794,250,0
251,53.650794,250,50
252,66.846464,250,100
253,66.846464,250,150
254,80.388894,250,200
255,80.388894,250,250
256,71.556894,250,300
257,71.556894,250,350
258,0,250,400
259,0,250,450
260,0,250,500
261,0,250,550
262,0,250,600
263,0,250,650
264,0,250,700
265,0,250,750
266,6.010735,250,800
267,6.010735,250,850
268,6.225315,250,900
269,6.225315,250,950
270,64.232258,250,1000
271,64.232258,250,1050
272,65.675334,250,1100
273,65.675334,250,1150
274,72.326614,250,1200
275,72.326614,250,1250
276,75.069003,250,1300
277,75.069003,250,1350
278,73.338755,250,1400
279,73.338755,250,1450
280,70.475388,250,1500
281,70.475388,250,1550
282,10.20902,250,1600
283,10.20902,250,1650
284,0,250,1700
285,0,250,1750
286,0,250,1800
287,0,250,1850
288,0,250,1900
289,0,250,1950
290,0,250,2000
291,0,250,2050
292,0,250,2100
293,0,250,2150
294,42.063492,250,2200
295,42.063492,250,2250
296,42.063492,250,2300
297,42.063492,250,2350
298,42.063492,250,2400
299,42.063492,250,2450
300,53.650794,300,0
301,53.650794,300,50
302,67.035089,300,100
303,67.035089,300,150
304,72.260084,300,200
305,72.260084,300,250
306,53.650794,300,300
307,53.650794,300,350
308,0,300,400
309,0,300,450
310,0,300,500
311,0,300,550
312,0,300,600
313,0,300,650
314,0,300,700
315,0,300,750
316,9.86914,300,800
317,9.86914,300,850
318,12.481525,300,900
319,12.481525,300,950
320,63.270328,300,1000
321,63.270328,300,1050
322,59.094399,300,1100
323,59.094399,300,1150
324,67.348498,300,1200
325,67.348498,300,1250
326,70.157558,300,1300
327,70.157558,300,1350
328,72.501388,300,1400
329,72.501388,300,1450
330,65.266628,300,1500
331,65.266628,300,1550
332,7.104145,300,1600
333,7.104145,300,1650
334,0,300,1700
335,0,300,1750
336,0,300,1800
337,0,300,1850
338,0,300,1900
339,0,300,1950
340,0,300,2000
341,0,300,2050
342,0,300,2100
343,0,300,2150
344,42.063492,300,2200
345,42.063492,300,2250
346,42.063492,300,2300
347,42.063492,300,2350
348,42.063492,300,2400
349,42.063492,300,2450
350,53.650794,350,0
351,53.650794,350,50
352,67.035089,350,100
353,67.035089,350,150
354,72.260084,350,200
355,72.260084,350,250
356,53.650794,350,300
357,53.650794,350,350
358,0,350,400
359,0,350,450
360,0,350,500
361,0,350,550
362,0,350,600
363,0,350,650
364,0,350,700
365,0,350,750
366,9.86914,350,800
367,9.86914,350,850
368,12.481525,350,900
369,12.481525,350,950
370,63.270328,350,1000
371,63.270328,350,1050
372,59.094399,350,1100
373,59.094399,350,1150
374,67.348498,350,1200
375,67.348498,350,1250
376,70.157558,350,1300
377,70.157558,350,1350
378,72.501388,350,1400
379,72.501388,350,1450
380,65.266628,350,1500
381,65.266628,350,1550
382,7.104145,350,1600
383,7.104145,350,1650
384,0,350,1700
385,0,350,1750
386,0,350,1800
387,0,350,1850
388,0,350,1900
389,0,350,1950
390,0,350,2000
391,0,350,2050
392,0,350,2100
393,0,350,2150
394,42.063492,350,2200
395,42.063492,350,2250
396,42.063492,350,2300
397,42.063492,350,2350
398,42.063492,350,2400
399,42.063492,350,2450
400,53.650794,400,0
401,53.650794,400,50
402,53.650794,400,100
403,53.650794,400,150
404,73.815734,400,200
405,73.815734,400,250
406,53.650794,400,300
407,53.650794,400,350
408,0,400,400
409,0,400,450
410,0,400,500
411,0,400,550
412,0,400,600
413,0,400,650
414,0,400,700
415,0,400,750
416,18.6347,400,800
417,18.6347,400,850
418,15.58478,400,900
419,15.58478,400,950
420,55.006518,400,1000
421,55.006518,400,1050
422,57.162298,400,1100
423,57.162298,400,1150
424,67.046378,400,1200
425,67.046378,400,1250
426,61.915278,400,1300
427,61.915278,400,1350
428,76.481498,400,1400
429,76.481498,400,1450
430,67.700648,400,1500
431,67.700648,400,1550
432,12.43961,400,1600
433,12.43961,400,1650
434,0,400,1700
435,0,400,1750
436,0,400,1800
437,0,400,1850
438,0,400,1900
439,0,400,1950
440,0,400,2000
441,0,400,2050
442,0,400,2100
443,0,400,2150
444,42.063492,400,2200
445,42.063492,400,2250
446,42.063492,400,2300
447,42.063492,400,2350
448,42.063492,400,2400
449,42.063492,400,2450
450,49.047619,450,0
451,49.047619,450,50
452,49.047619,450,100
453,49.047619,450,150
454,69.212559,450,200
455,69.212559,450,250
456,49.047619,450,300
457,49.047619,450,350
458,0,450,400
459,0,450,450
460,0,450,500
461,0,450,550
462,0,450,600
463,0,450,650
464,0,450,700
465,0,450,750
466,18.6347,450,800
467,18.6347,450,850
468,15.58478,450,900
469,15.58478,450,950
470,59.768422,450,1000
471,59.768422,450,1050
472,61.924202,450,1100
473,61.924202,450,1150
474,71.808282,450,1200
475,71.808282,450,1250
476,66.677182,450,1300
477,66.677182,450,1350
478,81.243402,450,1400
479,81.243402,450,1450
480,72.462552,450,1500
481,72.462552,450,1550
482,59.265007,450,1600
483,59.265007,450,1650
484,46.825397,450,1700
485,46.825397,450,1750
486,46.825397,450,1800
487,46.825397,450,1850
488,46.825397,450,1900
489,46.825397,450,1950
490,46.825397,450,2000
491,46.825397,450,2050
492,46.825397,450,2100
493,46.825397,450,2150
494,38.730159,450,2200
495,38.730159,450,2250
496,38.730159,450,2300
497,38.730159,450,2350
498,38.730159,450,2400
499,38.730159,450,2450
500,49.047619,500,0
501,49.047619,500,50
502,49.047619,500,100
503,49.047619,500,150
504,68.765439,500,200
505,68.765439,500,250
506,66.375159,500,300
507,66.375159,500,350
508,9.21267,500,400
509,9.21267,500,450
510,3.993205,500,500
511,3.993205,500,550
512,0,500,600
513,0,500,650
514,0,500,700
515,0,500,750
516,20.41787,500,800
517,20.41787,500,850
518,10.775435,500,900
519,10.775435,500,950
520,59.141177,500,1000
521,59.141177,500,1050
522,59.793027,500,1100
523,59.793027,500,1150
524,65.418862,500,1200
525,65.418862,500,1250
526,65.377432,500,1300
527,65.377432,500,1350
528,71.008342,500,1400
529,71.008342,500,1450
530,83.690562,500,1500
531,83.690562,500,1550
532,46.825397,500,1600
533,46.825397,500,1650
534,46.825397,500,1700
535,46.825397,500,1750
536,49.976136,500,1800
537,49.976136,500,1850
538,46.825397,500,1900
539,46.825397,500,1950
540,46.825397,500,2000
541,46.825397,500,2050
542,46.825397,500,2100
543,46.825397,500,2150
544,38.730159,500,2200
545,38.730159,500,2250
546,38.730159,500,2300
547,38.730159,500,2350
548,38.730159,500,2400
549,38.730159,500,2450
550,49.047619,550,0
551,49.047619,550,50
552,49.047619,550,100
553,49.047619,550,150
554,68.765439,550,200
555,68.765439,550,250
556,66.375159,550,300
557,66.375159,550,350
558,9.21267,550,400
559,9.21267,550,450
560,3.993205,550,500
561,3.993205,550,550
562,0,550,600
563,0,550,650
564,0,550,700
565,0,550,750
566,20.41787,550,800
567,20.41787,550,850
568,10.775435,550,900
569,10.775435,550,950
570,59.141177,550,1000
571,59.141177,550,1050
572,59.793027,550,1100
573,59.793027,550,1150
574,65.418862,550,1200
575,65.418862,550,1250
576,65.377432,550,1300
577,65.377432,550,1350
578,71.008342,550,1400
579,71.008342,550,1450
580,83.690562,550,1500
581,83.690562,550,1550
582,46.825397,550,1600
583,46.825397,550,1650
584,46.825397,550,1700
585,46.825397,550,1750
586,49.976136,550,1800
587,49.976136,550,1850
588,46.825397,550,1900
589,46.825397,550,1950
590,46.825397,550,2000
591,46.825397,550,2050
592,46.825397,550,2100
593,46.825397,550,2150
594,38.730159,550,2200
595,38.730159,550,2250
596,38.730159,550,2300
597,38.730159,550,2350
598,38.730159,550,2400
599,38.730159,550,2450
600,49.047619,600,0
601,49.047619,600,50
602,49.047619,600,100
603,49.047619,600,150
604,68.422019,600,200
605,68.422019,600,250
606,65.963909,600,300
607,65.963909,600,350
608,0,600,400
609,0,600,450
610,0,600,500
611,0,600,550
612,0,600,600
613,0,600,650
614,0,600,700
615,0,600,750
616,0,600,800
617,0,600,850
618,9.765135,600,900
619,9.765135,600,950
620,56.823639,600,1000
621,56.823639,600,1050
622,58.313202,600,1100
623,58.313202,600,1150
624,60.209757,600,1200
625,60.209757,600,1250
626,58.699845,600,1300
627,58.699845,600,1350
628,68.029922,600,1400
629,68.029922,600,1450
630,77.737822,600,1500
631,77.737822,600,1550
632,70.004617,600,1600
633,70.004617,600,1650
634,54.359011,600,1700
635,54.359011,600,1750
636,51.258555,600,1800
637,51.258555,600,1850
638,48.965018,600,1900
639,48.965018,600,1950
640,46.825397,600,2000
641,46.825397,600,2050
642,49.955195,600,2100
643,49.955195,600,2150
644,43.076648,600,2200
645,43.076648,600,2250
646,38.730159,600,2300
647,38.730159,600,2350
648,38.730159,600,2400
649,38.730159,600,2450
650,49.047619,650,0
651,49.047619,650,50
652,49.047619,650,100
653,49.047619,650,150
654,68.422019,650,200
655,68.422019,650,250
656,65.963909,650,300
657,65.963909,650,350
658,0,650,400
659,0,650,450
660,0,650,500
661,0,650,550
662,0,650,600
663,0,650,650
664,0,650,700
665,0,650,750
666,0,650,800
667,0,650,850
668,9.765135,650,900
669,9.765135,650,950
670,56.823639,650,1000
671,56.823639,650,1050
672,58.313202,650,1100
673,58.313202,650,1150
674,60.209757,650,1200
675,60.209757,650,1250
676,58.699845,650,1300
677,58.699845,650,1350
678,68.029922,650,1400
679,68.029922,650,1450
680,77.737822,650,1500
681,77.737822,650,1550
682,70.004617,650,1600
683,70.004617,650,1650
684,54.359011,650,1700
685,54.359011,650,1750
686,51.258555,650,1800
687,51.258555,650,1850
688,48.965018,650,1900
689,48.965018,650,1950
690,46.825397,650,2000
691,46.825397,650,2050
692,49.955195,650,2100
693,49.955195,650,2150
694,43.076648,650,2200
695,43.076648,650,2250
696,38.730159,650,2300
697,38.730159,650,2350
698,38.730159,650,2400
699,38.730159,650,2450
700,49.047619,700,0
701,49.047619,700,50
702,61.674479,700,100
703,61.674479,700,150
704,69.610439,700,200
705,69.610439,700,250
706,66.071949,700,300
707,66.071949,700,350
708,0,700,400
709,0,700,450
710,0,700,500
711,0,700,550
712,0,700,600
713,0,700,650
714,0,700,700
715,0,700,750
716,0,700,800
717,0,700,850
718,0,700,900
719,0,700,950
720,52.380952,700,1000
721,52.380952,700,1050
722,52.380952,700,1100
723,52.380952,700,1150
724,52.380952,700,1200
725,52.380952,700,1250
726,56.969416,700,1300
727,56.969416,700,1350
728,62.1918,700,1400
729,62.1918,700,1450
730,64.552305,700,1500
731,64.552305,700,1550
732,56.614018,700,1600
733,56.614018,700,1650
734,61.67577,700,1700
735,61.67577,700,1750
736,53.252572,700,1800
737,53.252572,700,1850
738,50.716861,700,1900
739,50.716861,700,1950
740,51.348659,700,2000
741,51.348659,700,2050
742,51.304791,700,2100
743,51.304791,700,2150
744,46.1643,700,2200
745,46.1643,700,2250
746,43.063126,700,2300
747,43.063126,700,2350
748,42.077675,700,2400
749,42.077675,700,2450
750,49.047619,750,0
751,49.047619,750,50
752,61.674479,750,100
753,61.674479,750,150
754,69.610439,750,200
755,69.610439,750,250
756,66.071949,750,300
757,66.071949,750,350
758,0,750,400
759,0,750,450
760,0,750,500
761,0,750,550
762,0,750,600
763,0,750,650
764,0,750,700
765,0,750,750
766,0,750,800
767,0,750,850
768,0,750,900
769,0,750,950
770,52.380952,750,1000
771,52.380952,750,1050
772,52.380952,750,1100
773,52.380952,750,1150
774,52.380952,750,1200
775,52.380952,750,1250
776,56.969416,750,1300
777,56.969416,750,1350
778,62.1918,750,1400
779,62.1918,750,1450
780,64.552305,750,1500
781,64.552305,750,1550
782,56.614018,750,1600
783,56.614018,750,1650
784,61.67577,750,1700
785,61.67577,750,1750
786,53.252572,750,1800
787,53.252572,750,1850
788,50.716861,750,1900
789,50.716861,750,1950
790,51.348659,750,2000
791,51.348659,750,2050
792,51.304791,750,2100
793,51.304791,750,2150
794,46.1643,750,2200
795,46.1643,750,2250
796,43.063126,750,2300
797,43.063126,750,2350
798,42.077675,750,2400
799,42.077675,750,2450
800,49.047619,800,0
801,49.047619,800,50
802,72.575589,800,100
803,72.575589,800,150
804,73.303589,800,200
805,73.303589,800,250
806,68.464249,800,300
807,68.464249,800,350
808,16.42448,800,400
809,16.42448,800,450
810,17.02822,800,500
811,17.02822,800,550
812,0,800,600
813,0,800,650
814,0,800,700
815,0,800,750
816,0,800,800
817,0,800,850
818,0,800,900
819,0,800,950
820,52.380952,800,1000
821,52.380952,800,1050
822,52.380952,800,1100
823,52.380952,800,1150
824,52.380952,800,1200
825,52.380952,800,1250
826,58.064015,800,1300
827,58.064015,800,1350
828,57.655427,800,1400
829,57.655427,800,1450
830,59.792929,800,1500
831,59.792929,800,1550
832,56.879352,800,1600
833,56.879352,800,1650
834,56.932697,800,1700
835,56.932697,800,1750
836,63.745062,800,1800
837,63.745062,800,1850
838,54.699547,800,1900
839,54.699547,800,1950
840,60.190595,800,2000
841,60.190595,800,2050
842,61.795055,800,2100
843,61.795055,800,2150
844,46.803928,800,2200
845,46.803928,800,2250
846,46.485371,800,2300
847,46.485371,800,2350
848,44.742422,800,2400
849,44.742422,800,2450
850,49.047619,850,0
851,49.047619,850,50
852,72.575589,850,100
853,72.575589,850,150
854,73.303589,850,200
855,73.303589,850,250
856,68.464249,850,300
857,68.464249,850,350
858,16.42448,850,400
859,16.42448,850,450
860,17.02822,850,500
861,17.02822,850,550
862,0,850,600
863,0,850,650
864,0,850,700
865,0,850,750
866,0,850,800
867,0,850,850
868,0,850,900
869,0,850,950
870,52.380952,850,1000
871,52.380952,850,1050
872,52.380952,850,1100
873,52.380952,850,1150
874,52.380952,850,1200
875,52.380952,850,1250
876,58.064015,850,1300
877,58.064015,850,1350
878,57.655427,850,1400
879,57.655427,850,1450
880,59.792929,850,1500
881,59.792929,850,1550
882,56.879352,850,1600
883,56.879352,850,1650
884,56.932697,850,1700
885,56.932697,850,1750
886,63.745062,850,1800
887,63.745062,850,1850
888,54.699547,850,1900
889,54.699547,850,1950
890,60.190595,850,2000
891,60.190595,850,2050
892,61.795055,850,2100
893,61.795055,850,2150
894,46.803928,850,2200
895,46.803928,850,2250
896,46.485371,850,2300
897,46.485371,850,2350
898,44.742422,850,2400
899,44.742422,850,2450
900,49.047619,900,0
901,49.047619,900,50
902,63.953559,900,100
903,63.953559,900,150
904,76.122719,900,200
905,76.122719,900,250
